now, expect, last_fin, now-expect, now-last_fin
8492694103971769, 8492694103738778, 8492694093997499, 232991, 9974270
8492694113972373, 8492694113738778, 8492694103996223, 233595, 9976150
8492694123972244, 8492694123738778, 8492694113996804, 233466, 9975440
8492694133971581, 8492694133738778, 8492694123996878, 232803, 9974703
8492694143973239, 8492694143738778, 8492694133996109, 234461, 9977130
8492694153972996, 8492694153738778, 8492694143998306, 234218, 9974690
8492694163975624, 8492694163738778, 8492694153997877, 236846, 9977747
8492694173971201, 8492694173738778, 8492694164027942, 232423, 9943259
8492694183974395, 8492694183738778, 8492694173995552, 235617, 9978843
8492694193974796, 8492694193738778, 8492694183999343, 236018, 9975453
8492694203974287, 8492694203738778, 8492694193999504, 235509, 9974783
8492694213976154, 8492694213738778, 8492694203998394, 237376, 9977760
8492694223970088, 8492694223738778, 8492694214000181, 231310, 9969907
8492694233971469, 8492694233738778, 8492694223993289, 232691, 9978180
8492694243969763, 8492694243738778, 8492694233994793, 230985, 9974970
8492694253973750, 8492694253738778, 8492694243993293, 234972, 9980457
8492694263976935, 8492694263738778, 8492694253997774, 238157, 9979161
8492694273977454, 8492694273738778, 8492694264030050, 238676, 9947404
8492694283975792, 8492694283738778, 8492694274017452, 237014, 9958340
8492694293980350, 8492694293738778, 8492694284028904, 241572, 9951446
8492694303978550, 8492694303738778, 8492694294005034, 239772, 9973516
8492694313978344, 8492694313738778, 8492694304033138, 239566, 9945206
8492694323979992, 8492694323738778, 8492694314002855, 241214, 9977137
8492694333986617, 8492694333738778, 8492694324032547, 247839, 9954070
8492694343980950, 8492694343738778, 8492694334013615, 242172, 9967335
8492694353982315, 8492694353738778, 8492694344034975, 243537, 9947340
8492694363982702, 8492694363738778, 8492694354007152, 243924, 9975550
8492694373980819, 8492694373738778, 8492694364043927, 242041, 9936892
8492694383981177, 8492694383738778, 8492694374005863, 242399, 9975314
8492694393981864, 8492694393738778, 8492694384034565, 243086, 9947299
8492694403983812, 8492694403738778, 8492694394006735, 245034, 9977077
8492694413985799, 8492694413738778, 8492694404045147, 247021, 9940652
8492694423984360, 8492694423738778, 8492694414010749, 245582, 9973611
8492694433984011, 8492694433738778, 8492694424039918, 245233, 9944093
8492694443985237, 8492694443738778, 8492694434008692, 246459, 9976545
8492694453983842, 8492694453738778, 8492694444038139, 245064, 9945703
8492694463984980, 8492694463738778, 8492694454008673, 246202, 9976307
8492694473985883, 8492694473738778, 8492694464040251, 247105, 9945632
8492694483985537, 8492694483738778, 8492694474010813, 246759, 9974724
8492694493985485, 8492694493738778, 8492694484038699, 246707, 9946786
8492694503986388, 8492694503738778, 8492694494010369, 247610, 9976019
8492694513985703, 8492694513738778, 8492694504039523, 246925, 9946180
8492694523986244, 8492694523738778, 8492694514010447, 247466, 9975797
8492694533987840, 8492694533738778, 8492694524039149, 249062, 9948691
8492694543985631, 8492694543738778, 8492694534012621, 246853, 9973010
8492694553986629, 8492694553738778, 8492694544038563, 247851, 9948066
8492694563989117, 8492694563738778, 8492694554011387, 250339, 9977730
8492694573988087, 8492694573738778, 8492694564042079, 249309, 9946008
8492694583987935, 8492694583738778, 8492694574012887, 249157, 9975048
8492694593989046, 8492694593738778, 8492694584040456, 250268, 9948590
8492694603990222, 8492694603738778, 8492694594013934, 251444, 9976288
8492694613989270, 8492694613738778, 8492694604044610, 250492, 9944660
8492694623990248, 8492694623738778, 8492694614014014, 251470, 9976234
8492694633989128, 8492694633738778, 8492694624044047, 250350, 9945081
8492694643988159, 8492694643738778, 8492694634013922, 249381, 9974237
8492694653988510, 8492694653738778, 8492694644040384, 249732, 9948126
8492694663991965, 8492694663738778, 8492694654013331, 253187, 9978634
8492694673988708, 8492694673738778, 8492694664043430, 249930, 9945278
8492694683990266, 8492694683738778, 8492694674013595, 251488, 9976671
8492694693991463, 8492694693738778, 8492694684043797, 252685, 9947666
8492694703984047, 8492694703738778, 8492694694016434, 245269, 9967613
8492694713990464, 8492694713738778, 8492694704050609, 251686, 9939855
8492694723992116, 8492694723738778, 8492694714015382, 253338, 9976734
8492694733991472, 8492694733738778, 8492694724044611, 252694, 9946861
8492694743992760, 8492694743738778, 8492694734016349, 253982, 9976411
8492694753990861, 8492694753738778, 8492694744044845, 252083, 9946016
8492694763993220, 8492694763738778, 8492694754015658, 254442, 9977562
8492694773992465, 8492694773738778, 8492694764053509, 253687, 9938956
8492694783993103, 8492694783738778, 8492694774017329, 254325, 9975774
8492694793995014, 8492694793738778, 8492694784064195, 256236, 9930819
8492694803992337, 8492694803738778, 8492694794020018, 253559, 9972319
8492694813994125, 8492694813738778, 8492694804044945, 255347, 9949180
8492694823993609, 8492694823738778, 8492694814018975, 254831, 9974634
8492694833996361, 8492694833738778, 8492694824046784, 257583, 9949577
8492694843994443, 8492694843738778, 8492694834021128, 255665, 9973315
8492694853998822, 8492694853738778, 8492694844047838, 260044, 9950984
8492694863994239, 8492694863738778, 8492694854036746, 255461, 9957493
8492694873995463, 8492694873738778, 8492694864047514, 256685, 9947949
8492694883997507, 8492694883738778, 8492694874020200, 258729, 9977307
8492694893995924, 8492694893738778, 8492694884053172, 257146, 9942752
8492694903996669, 8492694903738778, 8492694894020845, 257891, 9975824
8492694913998219, 8492694913738778, 8492694904050087, 259441, 9948132
8492694923996550, 8492694923738778, 8492694914023037, 257772, 9973513
8492694933998727, 8492694933738778, 8492694924050059, 259949, 9948668
8492694943998874, 8492694943738778, 8492694934023514, 260096, 9975360
8492694954000559, 8492694953738778, 8492694944052020, 261781, 9948539
8492694963998376, 8492694963738778, 8492694954025383, 259598, 9972993
8492694973995877, 8492694973738778, 8492694964055294, 257099, 9940583
8492694983999889, 8492694983738778, 8492694974020731, 261111, 9979158
8492694994002076, 8492694993738778, 8492694984053394, 263298, 9948682
8492695004028816, 8492695003738778, 8492694994026837, 290038, 10001979
8492695013999597, 8492695013738778, 8492695004053317, 260819, 9946280
8492695024053986, 8492695023738778, 8492695014024481, 315208, 10029505
8492695034011702, 8492695033738778, 8492695024090717, 272924, 9920985
8492695044037613, 8492695043738778, 8492695034038843, 298835, 9998770
8492695053977982, 8492695053738778, 8492695044066768, 239204, 9911214
8492695063973069, 8492695063738778, 8492695054006233, 234291, 9966836
8492695073997098, 8492695073738778, 8492695063999782, 258320, 9997316
8492695084165728, 8492695083738778, 8492695074021835, 426950, 10143893
8492695093997792, 8492695093738778, 8492695084187308, 259014, 9810484
8492695103997656, 8492695103738778, 8492695094022886, 258878, 9974770
8492695113997804, 8492695113738778, 8492695104041178, 259026, 9956626
